Frame Rate:,29.9700299700
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
209,00:00:06.974,2.9245891203703707,3.015815972222222,2.868125,2.889826388888889
210,00:00:07.007,2.726996527777778,3.0192361111111112,2.4775868055555557,2.6841666666666666
211,00:00:07.040,3.592106481481481,4.501354166666666,2.91625,3.358715277777778
212,00:00:07.074,3.434849537037037,3.9125868055555557,3.2474305555555554,3.14453125
213,00:00:07.107,3.6828067129629627,4.29375,3.4232118055555554,3.3314583333333334
214,00:00:07.140,4.046076388888888,4.9621875,3.5297569444444443,3.646284722222222
215,00:00:07.174,3.8586863425925926,4.40234375,3.713159722222222,3.4605555555555556
216,00:00:07.207,3.7285069444444443,4.4650694444444445,3.3592013888888888,3.36125
217,00:00:07.241,4.031412037037037,4.952638888888889,3.613263888888889,3.5283333333333333
218,00:00:07.274,3.6424074074074073,4.263628472222222,3.3971875,3.26640625
219,00:00:07.307,3.975729166666666,4.900711805555556,3.5882465277777778,3.4382291666666664
220,00:00:07.341,4.139131944444444,4.981232638888889,3.7244270833333335,3.711736111111111
221,00:00:07.374,4.323275462962964,5.18484375,3.9849131944444443,3.8000694444444445
222,00:00:07.407,4.840173611111111,5.94015625,4.3767708333333335,4.20359375
223,00:00:07.441,4.936608796296297,6.0744444444444445,4.387708333333333,4.347673611111111
224,00:00:07.474,5.223177083333334,6.3249305555555555,4.749444444444444,4.59515625
225,00:00:07.508,5.191736111111111,6.353628472222222,4.613003472222222,4.608576388888889
226,00:00:07.541,5.098657407407408,6.2296354166666665,4.651493055555555,4.41484375
227,00:00:07.574,5.17505787037037,6.280555555555556,4.698802083333334,4.545815972222222
228,00:00:07.608,4.929699074074073,5.974392361111111,4.50859375,4.306111111111111
229,00:00:07.641,4.813946759259259,5.754010416666667,4.432465277777778,4.255364583333333
230,00:00:07.674,4.389432870370371,5.248159722222222,4.031927083333334,3.8882118055555557
231,00:00:07.708,4.356481481481482,5.433298611111111,3.84328125,3.7928645833333334
232,00:00:07.741,4.20927662037037,5.006631944444444,3.8771180555555556,3.744079861111111
233,00:00:07.774,4.34802662037037,5.540069444444445,3.7292881944444445,3.774722222222222
234,00:00:07.808,3.217957175925926,3.605347222222222,3.0205729166666666,3.027951388888889
235,00:00:07.841,3.511221064814815,4.283611111111111,3.074201388888889,3.1758506944444442
236,00:00:07.875,3.800723379629629,4.407621527777778,3.5888541666666667,3.4056944444444444
237,00:00:07.908,4.484299768518519,5.487899305555556,3.994409722222222,3.9705902777777777
238,00:00:07.941,4.158668981481482,4.861649305555556,3.9430034722222222,3.6713541666666667
239,00:00:07.975,4.0033101851851844,4.885208333333333,3.590607638888889,3.5341145833333334
240,00:00:08.008,3.9292013888888895,5.093576388888889,3.2336458333333336,3.4603819444444444
241,00:00:08.041,2.3110300925925924,2.215434027777778,2.4999479166666667,2.2177083333333334
242,00:00:08.075,3.3580844907407403,4.2824479166666665,2.8694965277777778,2.9223090277777777
243,00:00:08.108,3.1065219907407404,3.9806423611111112,2.5487152777777777,2.790208333333333
244,00:00:08.141,2.2825462962962964,2.590520833333333,2.22234375,2.0347743055555556
