Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
264,00:08.8,24.94890227,30.28423394,16.88357205,27.67890082
265,00:08.8,24.58456308,29.79831272,16.57378472,27.3815918
266,00:08.9,23.56161386,28.5289171,15.6137424,26.54218207
267,00:08.9,22.49776657,27.28314887,14.45548503,25.7546658
268,00:08.9,21.8068486,26.89645725,13.50059679,25.02349175
269,00:09.0,20.8992513,25.49424913,13.07166884,24.13183594
270,00:09.0,20.59223995,24.70670573,12.78884549,24.28116862
271,00:09.0,19.63273112,23.88349067,11.80843099,23.2062717
272,00:09.1,19.4476454,23.8844401,11.6238878,22.83460829
273,00:09.1,19.38150137,23.71259223,11.57915582,22.85275608
274,00:09.1,19.17668547,23.21736654,11.8504503,22.46223958
275,00:09.2,19.63501881,23.93508572,12.12784831,22.8421224
276,00:09.2,20.43780744,24.71308051,12.95898438,23.64135742
277,00:09.2,22.90732603,28.63237847,14.47892253,25.61067708
278,00:09.3,24.80035626,31.32397461,16.19034831,26.88674588
279,00:09.3,27.23633717,34.61111111,17.98640951,29.11149089
280,00:09.3,28.42612486,36.85885959,19.16813151,29.25138346
281,00:09.4,28.67645038,36.69783529,19.72471788,29.60679796
282,00:09.4,28.54571759,36.58194987,19.62700738,29.42819553
283,00:09.4,28.40285916,37.25184462,19.51730686,28.439426
284,00:09.5,28.47501628,37.58013238,19.24829102,28.59662543
285,00:09.5,29.63044343,39.5563151,19.45540365,29.87961155
286,00:09.5,29.69841399,40.46365017,19.64906141,28.98253038
287,00:09.6,30.72573966,42.62470161,20.23364258,29.31887478
288,00:09.6,30.35944734,40.9753418,20.8421224,29.26087782
289,00:09.6,29.93617983,39.76676432,21.07229275,28.96948242
290,00:09.7,29.80963361,39.7227105,21.52983941,28.17635091
291,00:09.7,30.11055953,40.3484158,22.19780816,27.78545464
292,00:09.7,30.2747215,40.16590712,22.02935113,28.62890625
293,00:09.8,31.13255932,41.70624457,22.04638672,29.64504666
294,00:09.8,31.32686813,42.11851671,22.06751845,29.79456923
295,00:09.8,30.71631764,42.14358181,21.41387261,28.59149848
296,00:09.9,29.67211914,41.10625543,20.77048069,27.13962131
297,00:09.9,28.56873011,39.58322483,19.82044813,26.30251736
298,00:09.9,26.54404478,36.22146267,18.8522678,24.55840386
299,00:10.0,26.28155744,35.56038411,18.31464301,24.96964518
300,00:10.0,27.2264992,37.07297092,18.2898763,26.31665039
301,00:10.0,24.94218388,33.27129449,18.55078125,23.00447591
302,00:10.1,24.59016927,32.89363607,18.7507053,22.12616645
303,00:10.1,23.46364113,31.4125434,17.75124783,21.22713216
304,00:10.1,25.53588867,36.18421766,17.58466254,22.83878581
305,00:10.2,22.48825412,30.09342448,16.54394531,20.82739258
306,00:10.2,21.81370262,28.94458008,16.02452257,20.47200521
307,00:10.2,22.11983688,30.06849501,15.86455621,20.42645942
308,00:10.3,22.37022569,30.71381293,15.9987793,20.39808485
309,00:10.3,22.62082248,31.16468641,16.35666233,20.34111871
310,00:10.3,22.44857675,30.3004286,16.43608941,20.60921224
311,00:10.4,22.29683883,29.95654297,16.42873806,20.50523546
312,00:10.4,22.00307436,28.77943251,16.87513563,20.35465495
313,00:10.4,22.04578993,28.65592448,17.18245443,20.29899089
314,00:10.5,22.27056207,29.05287001,17.05978733,20.69902886
315,00:10.5,23.00265842,30.53162977,17.1917589,21.28458659
316,00:10.5,22.38962131,29.31678602,17.08558485,20.76649306
317,00:10.6,22.36669922,29.45000543,17.07077365,20.57931858
318,00:10.6,22.7126917,29.86995443,17.12312826,21.1449924
